#HMM_family	HMM_len	Query_ID	Query_len	E-value	HMM_start	HMM_end	Query_start	Query_end	Coverage
AA1	358	FUN_001354-T1	715	5.2e-109	6	357	174	668	0.980447
AA1_2	337	FUN_001354-T1	715	1.1e-84	1	330	176	539	0.976261
AA1_3	312	FUN_001354-T1	715	1.1e-78	11	304	156	465	0.939103
AA1_1	303	FUN_001354-T1	715	2.3e-68	1	296	170	494	0.973597
GH38	269	FUN_001493-T1	1077	1.9e-87	1	256	282	541	0.947955
GH16_18	158	FUN_001509-T1	380	1e-67	1	158	69	226	0.993671
GH16_19	174	FUN_001509-T1	380	2.4e-41	9	174	68	229	0.948276
GH16_21	206	FUN_001509-T1	380	1.3e-21	62	184	89	212	0.592233
GH16	189	FUN_001509-T1	380	5.2e-21	54	176	83	227	0.645503
GT62	268	FUN_001529-T1	372	1.8e-104	4	267	73	337	0.981343
GT34	246	FUN_001563-T1	459	1.2e-85	1	245	155	420	0.991870
GH16_1	229	FUN_001564-T1	319	3.2e-85	2	229	66	296	0.991266
GH16	189	FUN_001564-T1	319	5.2e-25	42	189	82	315	0.777778
GH95	722	FUN_001583-T1	794	5.4e-219	7	718	26	770	0.984765
GH18	296	FUN_001613-T1	621	2.8e-67	4	284	278	607	0.945946
AA9	220	FUN_001639-T1	208	1.4e-56	38	219	16	193	0.822727
AA7	458	FUN_001724-T1	553	7.1e-44	20	187	74	253	0.364629
GH30_3	417	FUN_001725-T1	490	2.5e-124	6	416	66	486	0.983213
GH30	417	FUN_001725-T1	490	6.5e-113	22	416	72	487	0.944844
GH30_1	416	FUN_001725-T1	490	1.1e-71	11	416	73	486	0.973558
GH30_2	417	FUN_001725-T1	490	4.7e-55	8	415	73	484	0.976019
GH30_9	442	FUN_001725-T1	490	9.3e-48	11	430	72	473	0.947964
GH30_7	443	FUN_001725-T1	490	7.9e-30	11	403	73	474	0.884876
GH30_6	450	FUN_001725-T1	490	4.7e-23	9	407	74	469	0.884444
GH30_8	342	FUN_001725-T1	490	4e-18	6	339	70	469	0.973684
GT32	90	FUN_001731-T1	341	3.4e-20	1	86	108	188	0.944444
